Station_Name,Street_Address,City,Access_Days_Time,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV_Other_Info,New_Georeferenced_Column,Category,Latitude,Longitude,Total_EVSE_Num,distance_to_A,distance_to_B,geometry,Station_Category,Address_Number,Charger_Category
Newington Town Center - Municipal Parking Lot,83 Market Square,Newington,24 hours daily,0,2,0,NONE,POINT (-72.721392 41.696446),Daily,41.696446,-72.721392,2,68.66177613766753,69.70538032992779,POINT (-72.721392 41.696446),Level 2 only,271,1-3
Ridgeway Shopping Center - Tesla Supercharger,2233 Summer Street,Stamford,24 hours daily; for tesla use only,0,0,12,NONE,POINT (-73.546435 41.068704),Tesla,41.068704,-73.546435,12,44.46936779413286,37.03723558570227,POINT (-73.546435 41.068704),DC Fast only,272,10+
Connecticut Post Mall - NW Entrance,1201 Boston Post Rd,Milford,6am-12pm daily,0,2,0,NONE,POINT (-73.036899 41.23608),Daily,41.23608,-73.036899,2,45.44559995548975,39.12302090057825,POINT (-73.036899 41.23608),Level 2 only,158,1-3
Girard Nissan,425 Gold Star Hwy,Groton,dealership business hours,0,1,0,NONE,POINT (-72.054118 41.370989),Business Hours,41.370989,-72.054118,1,120.1467651272479,117.124639153163,POINT (-72.054118 41.370989),Level 2 only,273,1-3
Milford Travel Plaza - Tesla Supercharger,I-95 Milford,Milford,24 hours daily; for tesla use only,0,0,2,NONE,POINT (-73.010522 41.246242),Tesla,41.246242,-73.010522,2,46.68245567054676,40.632890808928884,POINT (-73.010522 41.246242),DC Fast only,194,1-3
Goodwin University,211 Riverside Dr,East Hartford,24 hours daily,0,2,0,NONE,POINT (-72.640075 41.743194),Daily,41.743194,-72.640075,2,76.89855039041812,78.13996146489694,POINT (-72.640075 41.743194),Level 2 only,274,1-3
Greater Hartford Transit District - Spruce Street Lot,1 Union Pl,Hartford,24 hours daily; pay lot,1,1,0,NONE,POINT (-72.68182500000002 41.769417),Daily,41.769417,-72.68182500000002,2,74.97019093078444,76.66398883732724,POINT (-72.68182500000002 41.769417),Level 1 and 2,275,1-3
Illiano's Restaurant,257 W Town St,Yantic,11am-10pm daily,0,1,0,NONE,POINT (-72.113144 41.55775),Daily,41.55775,-72.113144,1,115.02629415603117,113.44935044798835,POINT (-72.113144 41.55775),Level 2 only,276,1-3
Town of Hamden - Police Department,2900 Dixwell Ave,Hamden,24 hours daily,0,2,0,NONE,POINT (-72.903596 41.384051),Daily,41.384051,-72.903596,2,49.51121286451899,46.051081002746024,POINT (-72.903596 41.384051),Level 2 only,277,1-3
Fairfield Senior Center,100 Mona Terrace,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.26088 41.132277),Daily,41.132277,-73.26088,2,41.61895003619862,33.34791297408926,POINT (-73.26088 41.132277),Level 2 only,278,1-3
Butler Street Parking Lot,30 Butler St,Meriden,24 hours daily,0,2,0,NONE,POINT (-72.805988 41.53697),Daily,41.53697,-72.805988,2,57.287338826840006,56.390845580847426,POINT (-72.805988 41.53697),Level 2 only,279,1-3
Propark - 777 Main,777 Main St,Hartford,restricted to garage hours; pay lot,0,17,1,NONE,POINT (-72.67363400000002 41.766034),Pay Lot,41.766034,-72.67363400000002,18,75.41594338332924,77.03827946171542,POINT (-72.67363400000002 41.766034),Level 2 and DC Fast,280,10+
